exemplo,dezenas,total_concursos_testados,media_acertos,desvio_padrao_acertos,esperanca_teorica,diferenca_vs_esperanca,max_acertos_observado,pct_11_ou_mais,pct_13_ou_mais,qtd_15_acertos
1,01-02-03-04-06-07-08-14-16-18-19-20-21-23-25,3727,8.9657,1.2025,9.0,-0.0343,13,9.4714,0.0805,0
2,01-02-05-07-08-09-10-11-16-18-19-20-22-23-24,3727,8.9914,1.2288,9.0,-0.0086,13,10.5447,0.1073,0
3,01-02-04-06-08-09-11-13-14-15-17-18-21-22-24,3727,8.9828,1.2374,9.0,-0.0172,13,10.3837,0.2146,0
4,02-03-04-06-08-11-13-14-15-17-19-20-22-24-25,3727,9.0327,1.2328,9.0,0.0327,13,11.6448,0.1878,0
5,03-04-05-06-08-09-12-14-15-16-17-21-22-24-25,3727,8.9533,1.244,9.0,-0.0467,14,10.2227,0.1342,0
