metodo,total_jogos_conferidos,media_acertos,desvio_padrao_acertos,esperanca_teorica,min_acertos,max_acertos,pct_11_ou_mais,pct_13_ou_mais,qtd_0_acertos,qtd_1_acertos,qtd_2_acertos,qtd_3_acertos,qtd_4_acertos,qtd_5_acertos,qtd_6_acertos,qtd_7_acertos,qtd_8_acertos,qtd_9_acertos,qtd_10_acertos,qtd_11_acertos,qtd_12_acertos,qtd_13_acertos,qtd_14_acertos,qtd_15_acertos
M1_aleatorio_puro,13,9.077,1.141,9.0,7,11,7.69,0.0,0,0,0,0,0,0,0,2,1,5,4,1,0,0,0,0
M2_mais_frequentes,13,9.231,1.423,9.0,6,11,15.38,0.0,0,0,0,0,0,0,1,1,1,3,5,2,0,0,0,0
M3_mais_atrasadas,13,9.231,1.049,9.0,7,11,7.69,0.0,0,0,0,0,0,0,0,1,2,4,5,1,0,0,0,0
M4_par_impar_balanceado,13,9.077,1.071,9.0,8,12,7.69,0.0,0,0,0,0,0,0,0,0,4,6,2,0,1,0,0,0
M5_soma_faixa_comum,13,8.923,1.269,9.0,6,11,7.69,0.0,0,0,0,0,0,0,1,0,4,3,4,1,0,0,0,0
M6_filtros_combinados,56,9.286,1.292,9.0,7,12,16.07,0.0,0,0,0,0,0,0,0,6,10,13,18,7,2,0,0,0
M7_cobertura_pares,56,9.304,1.224,9.0,7,12,16.07,0.0,0,0,0,0,0,0,0,3,12,18,14,6,3,0,0,0
M8_repeticao_controlada,56,9.196,1.274,9.0,6,12,12.5,0.0,0,0,0,0,0,0,2,3,11,14,19,6,1,0,0,0
